,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,45.09855329990387,0.8010272917826747,7.1464239120483395,0.0974067983942947,1,linear,"{'C': 1, 'kernel': 'linear'}",0.908,0.918,0.931,0.94,0.914,0.913,0.934,0.908,0.89,0.922,0.9178000000000001,0.013962807740565642,9,0.9983333333333333,0.9972222222222222,0.9974444444444445,0.998,0.9975555555555555,0.9977777777777778,0.9974444444444445,0.9982222222222222,0.9977777777777778,0.9967777777777778,0.9976555555555555,0.0004456926915584746
1,68.64909653663635,1.098521831430473,8.333593702316284,0.2557560049212201,1,poly,"{'C': 1, 'kernel': 'poly'}",0.951,0.953,0.963,0.971,0.962,0.96,0.957,0.952,0.935,0.951,0.9555,0.00916787870774912,8,0.9845555555555555,0.9838888888888889,0.9835555555555555,0.9834444444444445,0.9826666666666667,0.9843333333333333,0.9838888888888889,0.9842222222222222,0.9852222222222222,0.9834444444444445,0.9839222222222223,0.000672291089218027
2,79.55054671764374,2.509974769735931,12.252091908454895,1.1844757281835185,1,rbf,"{'C': 1, 'kernel': 'rbf'}",0.958,0.96,0.967,0.972,0.966,0.963,0.962,0.952,0.946,0.958,0.9604000000000001,0.0071302173879903615,6,0.9857777777777778,0.9854444444444445,0.9845555555555555,0.9843333333333333,0.9843333333333333,0.9851111111111112,0.9857777777777778,0.9858888888888889,0.987,0.9841111111111112,0.9852333333333334,0.000868445467985299
3,40.76188726425171,2.4081735688160473,6.322766065597534,0.7184054385702678,3,linear,"{'C': 3, 'kernel': 'linear'}",0.908,0.918,0.927,0.933,0.91,0.913,0.924,0.904,0.881,0.917,0.9135,0.013764083696345367,10,0.9998888888888889,0.9998888888888889,0.9997777777777778,0.9998888888888889,0.9998888888888889,0.9997777777777778,0.9998888888888889,0.9998888888888889,0.9998888888888889,0.9997777777777778,0.9998555555555555,5.091750772175986e-05
4,59.056318521499634,3.382194037299315,7.385794353485108,0.5770199203106186,3,poly,"{'C': 3, 'kernel': 'poly'}",0.962,0.956,0.968,0.974,0.968,0.961,0.962,0.954,0.941,0.96,0.9606000000000001,0.008616263691415214,5,0.9964444444444445,0.9962222222222222,0.9965555555555555,0.9964444444444445,0.9965555555555555,0.9967777777777778,0.9967777777777778,0.9962222222222222,0.9965555555555555,0.996,0.9964555555555556,0.0002354402233379587
5,75.07130842208862,6.272041511992486,12.760462284088135,0.7742158935314778,3,rbf,"{'C': 3, 'kernel': 'rbf'}",0.965,0.962,0.973,0.977,0.978,0.97,0.969,0.959,0.952,0.966,0.9671,0.007673982017179875,1,0.9985555555555555,0.9987777777777778,0.9983333333333333,0.9986666666666667,0.9984444444444445,0.9984444444444445,0.9985555555555555,0.998,0.9981111111111111,0.9981111111111111,0.9984,0.0002444444444444572
6,41.34150371551514,2.3595572077184577,6.26985719203949,0.6257908862640885,7,linear,"{'C': 7, 'kernel': 'linear'}",0.907,0.917,0.927,0.934,0.91,0.913,0.925,0.905,0.882,0.914,0.9134,0.013661625086350465,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7,53.092431807518004,3.498770792789743,7.012034368515015,0.7235692502089942,7,poly,"{'C': 7, 'kernel': 'poly'}",0.964,0.954,0.965,0.973,0.968,0.965,0.953,0.957,0.946,0.962,0.9606999999999999,0.007668767828015143,4,0.9994444444444445,0.9994444444444445,0.9994444444444445,0.9994444444444445,0.9995555555555555,0.9994444444444445,0.9993333333333333,0.9993333333333333,0.9992222222222222,0.9992222222222222,0.999388888888889,0.00010243938285881262
8,74.24667563438416,5.047482274195333,12.569511485099792,1.196663531052682,7,rbf,"{'C': 7, 'kernel': 'rbf'}",0.966,0.962,0.974,0.975,0.978,0.972,0.964,0.959,0.953,0.966,0.9668999999999999,0.007449161026585484,3,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9998888888888889,0.9997777777777778,0.9997777777777778,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.999711111111111,7.3702773119003e-05
9,41.41698834896088,3.0655201015519653,6.460541820526123,0.5080692117543988,10,linear,"{'C': 10, 'kernel': 'linear'}",0.907,0.917,0.927,0.934,0.91,0.913,0.925,0.905,0.882,0.914,0.9134,0.013661625086350465,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10,53.900303196907046,2.215310697168385,7.272466707229614,0.3436347227908468,10,poly,"{'C': 10, 'kernel': 'poly'}",0.964,0.954,0.965,0.974,0.968,0.964,0.952,0.958,0.944,0.961,0.9604000000000001,0.008224354077980844,6,0.9995555555555555,0.9995555555555555,0.9996666666666667,0.9998888888888889,0.9998888888888889,0.9996666666666667,0.9996666666666667,0.9995555555555555,0.9995555555555555,0.9997777777777778,0.9996777777777778,0.00012619796324003028
11,62.764308309555055,14.928619520736895,7.288618659973144,1.9538256807034957,10,rbf,"{'C': 10, 'kernel': 'rbf'}",0.966,0.963,0.973,0.975,0.978,0.973,0.965,0.958,0.953,0.967,0.9671,0.007449161026585483,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
